King of Seas,https://ec.nintendo.com/HK/zh/titles/70010000039590,× 1,HKD 195,HKD 78
Fight'N Rage,https://ec.nintendo.com/HK/zh/titles/70010000028686,× 1 ～ 3,HKD 148,HKD 58
WHAT THE GOLF?,https://ec.nintendo.com/HK/zh/titles/70010000048117,× 1 ～ 2,HKD 89,HKD 44
殺戮的天使 (Angels of Death),https://ec.nintendo.com/HK/zh/titles/70010000040262,× 1,HKD 76,HKD 45
憶戀～Reverse Memories～,https://ec.nintendo.com/HK/zh/titles/70010000042456,× 1,HKD 32,HKD 21
She Sees Red - Interactive Movie,https://ec.nintendo.com/HK/zh/titles/70010000028638,× 1,HKD 70,HKD 19
天使帝國Ⅳ,https://ec.nintendo.com/HK/zh/titles/70010000039065,× 1,HKD 158,HKD 78
斬妖Raksasi,https://ec.nintendo.com/HK/zh/titles/70010000036774,× 1,HKD 108,HKD 75
Blue Rider,https://ec.nintendo.com/HK/zh/titles/70010000011583,× 1,HKD 78,HKD 15
Valfaris,https://ec.nintendo.com/HK/zh/titles/70010000023027,× 1,HKD 178,HKD 48
The Men of Yoshiwara: Ohgiya,https://ec.nintendo.com/HK/zh/titles/70010000029789,× 1,HKD 117,HKD 58
巴克·布蘭得利2,https://ec.nintendo.com/HK/zh/titles/70010000050078,× 1,HKD 57,HKD 10
非常普通的鹿 鹿頂記之弱小的鹿總是受欺負 (DEEEER Simulator),https://ec.nintendo.com/HK/zh/titles/70010000041512,× 1 ～ 2,HKD 89,HKD 53
映夢,https://ec.nintendo.com/HK/zh/titles/70010000032878,× 1,HKD 78,HKD 39
Back to Bed,https://ec.nintendo.com/HK/zh/titles/70010000019031,× 1,HKD 38,HKD 15
釣魚天堂,https://ec.nintendo.com/HK/zh/titles/70010000048252,× 1,HKD 100,HKD 90
Klondike Solitaire - 接龍,https://ec.nintendo.com/HK/zh/titles/70010000037592,× 1,HKD 70,HKD 10
LEGO® DC 超級反派豪華版,https://ec.nintendo.com/HK/zh/bundles/70070000010034,× 1 ～ 2,HKD 545,HKD 130
守護者傳奇(Legend of Keepers),https://ec.nintendo.com/HK/zh/titles/70010000041214,× 1,HKD 89,HKD 44
劍與骨頭,https://ec.nintendo.com/HK/zh/titles/70010000048694,× 1,HKD 59,HKD 10
Capcom Arcade Stadium Packs 1-3套裝,https://ec.nintendo.com/HK/zh/bundles/70070000011575,× 1 ～ 4,HKD 312,HKD 156
體感嘉年華,https://ec.nintendo.com/HK/zh/titles/70010000012684,× 1 ～ 4,HKD 318,HKD 79
Classic Games Collection Vol.1 - 經典遊戲集vol. 1,https://ec.nintendo.com/HK/zh/titles/70010000037178,× 1 ～ 2,HKD 40,HKD 10
Crazy Trucks,https://ec.nintendo.com/HK/zh/titles/70010000046496,× 1 ～ 4,HKD 129,HKD 19
Stealth 隱身,https://ec.nintendo.com/HK/zh/titles/70010000036805,× 1 ～ 2,HKD 38,HKD 11
PICROSS S7,https://ec.nintendo.com/HK/zh/titles/70010000045834,× 1 ～ 2,HKD 79,HKD 55
騎士與單車,https://ec.nintendo.com/HK/zh/titles/70010000044230,× 1 ～ 2,HKD 89,HKD 44
金屬元素：死亡金屬之死亡競賽！,https://ec.nintendo.com/HK/zh/titles/70010000050147,× 1 ～ 4,HKD 108,HKD 16
聖女之歌 ZERO Episode 1,https://ec.nintendo.com/HK/zh/titles/70010000011722,× 1,HKD 102,HKD 51
《橫衝直撞：狂飆樂園》重製版,https://ec.nintendo.com/HK/zh/titles/70010000027022,× 1,HKD 239,HKD 78
幽鈴蘭～Lily of the Hollow - Resurrection～,https://ec.nintendo.com/HK/zh/titles/70010000036530,× 1,HKD 32,HKD 21
